FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.swapcable._FiberCableByPost	'- A ticket [526] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.<N><N>(before 4pm the cable will arrive the next day<N><N>otherwise the day after the next day)'	Shipment of a Fiber cable by post					
$flow.swapcable._FiberCableByStore	ATTENTION during containment (Corona Virus), <b>only via Post<b>.<N> Do not send customers to the Stores as they are closed.<N><N>Send an email reminding him to take the old cable with him.	Send the customer to a Store.					
$flow.swapcable.SwapFiberCable	ATTENTION during containment (Corona Virus), <b>only via Post<b>.<N> Do not send customers to the Stores as they are closed.<N><N>This can be done either in a Salt Store or by post.<N><N><B>By post<B>, if the request to send the cable is made before 16:30, the cable is sent the same day.	The fiber optic cable must be changed.		STORE	POST		
$flow.powercable._AddPowercableMemo	Customer sent to the SST to test the power supply.	Add note	vti/addnote2en				
$flow.swapcable._InputShipingAdress		Enter the address		Temporary address	VTI address		
$flow.swapcable.IsShipingToAnotherAdress		Delivery to an address other than the one in VTI?		Temporary address	VTI address		
$flow.powercable._CreateTicketModemBoxSwap	'- A ticket [523] will be automatically generated upon advancing to the next step. Do not manually create one (SuperOffice). A copy of the content will be sent to your mailbox.<N><N>Inform that:<N><T>- a technical ticket is forwarded to our technical department for a thorough analysis.<N><T>- he may be contacted.<N><T>- he will receive feedback as soon as possible.<N><T> - <em>the box must always be powered (230V) and plugged in (SFP, Fibre, OTO) during the whole life of a ticket.<em>'	Automatic ticket creation [523] in SuperOffice					
$flow.powercable.CanGoToTheShop	He can test the box there with another power supply.	Can the customer go to the nearest store?					
$flow.powercable.LedPowerOn	(Power LED must be green)<N>Request to switch the wall socket.<N>Verify the power supply connection of the box.	Is the POWER LED green?	box/powerLed	Yes, green			https://qoof.salt.ch/knowledge/technical/modem_router/boot_led_sequence
