FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.swapcable._FiberCableByPost	'- Ein Ticket [526] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>(vor 16.00 Uhr wird das Kabel am nächsten Tag geliefert sonst am übernächsten Tag)'	Zusendung eines Glasfaserkabels per Post					
$flow.swapcable._FiberCableByStore	ACHTUNG während der Eindämmung (Coronavirus), <b>nur per Post<b>.<N>Keine Kunden in den Stores schicken, da diese geschlossen sind.<N><N>Eine E-Mail senden, die ihn daran erinnert, das alte Kabel mitzunehmen.	Den Kunden in einen Store schicken					
$flow.swapcable.SwapFiberCable	ACHTUNG während der Eindämmung (Coronavirus), <b>nur per Post<b>.<N>Keine Kunden in den Stores schicken, da diese geschlossen sind.<N><N>Dies kann entweder in einem Salt Store oder per Post geschehen.<N><N><B>Per Post<B>, wenn der Antrag auf Versendung des Kabels vor 16:30 Uhr gestellt wird, wird das Kabel noch am selben Tag verschickt.	Das Glasfaserkabel muss ausgetauscht werden		STORE	POST		
$flow.powercable._AddPowercableMemo	Kunde in einen SST geschickt, um die Stromversorgung zu testen.	Notiz hinzufügen	vti/addnote2de				
$flow.swapcable._InputShipingAdress		Die Adresse eingeben		Provisorische Adresse	VTI-Adresse		
$flow.swapcable.IsShipingToAnotherAdress		Lieferung an eine andere Adresse als die im VTI?		Provisorische Adresse	VTI-Adresse		
$flow.powercable._CreateTicketModemBoxSwap	'- Ein Ticket [523] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>'	Automatische Ticket-Erstellung [523] in SuperOffice 					
$flow.powercable.CanGoToTheShop	Er kann die Box dort mit einem anderen Netzteil testen.	Kann der Kunde zum nächstgelegenen Store gehen?					
$flow.powercable.LedPowerOn	(Die Power LED muss grün sein)<N>Auffordern, die Wandsteckdose zu wechseln.<N>Die Verbindung der Stromversorgung der Box überprüfen.	Leuchtet die POWER-LED grün?	box/powerLed-de	Ja, grün			https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence
